,,and,begin,boolean,div,do,downto,else,end,false,fixed,float,for,function,if,integer,mod,not,or,procedure,program,read,repeat,string,then,to,true,until,var,while,write,writeln,id,int_lit,float_lit,string_lit,.,",",;,:,(,),=,>,<,<=,>=,<>,:=,+,-,*,/,eof
1,SystemGoal,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Program ,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ProgramHeading ,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Block ,,4,,,,,,,,,,,4,,,,,,4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
5,VariableDeclarationPart ,,6,,,,,,,,,,,6,,,,,,6,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
6,VariableDeclarationTail ,,8,,,,,,,,,,,8,,,,,,8,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
7,VariableDeclaration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
8,Type ,,,13,,,,,,,,11,,,,10,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
9,ProcedureAndFunctionDeclarationPart,,16,,,,,,,,,,,15,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ProcedureDeclaration ,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FunctionDeclaration ,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ProcedureHeading ,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,FunctionHeading,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,OptionalFormalParameterList ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,21,,,,,,,,,,,,,
15,FormalParameterSectionTail ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,24,,,,,,,,,,,,
16,FormalParameterSection   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,25,,,,,,,,,,,,,,,,,,,,,
17,ValueParameterSection   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,
18,VariableParameterSection  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
19,StatementPart  ,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CompoundStatement ,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,StatementSequence ,,31,,,,,,31,,,,31,,31,,,,,,,31,31,,,,,31,,31,31,31,31,,,,,,31,,,,,,,,,,,,,,,
22,StatementTail  ,,,,,,,,33,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,32,,,,,,,,,,,,,,,
23,Statement   ,,35,,,,,34,34,,,,42,,39,,,,,43,,36,41,,,,,34,,40,37,37,"38,43",,,,,,34,,,,,,,,,,,,,,,
24,EmptyStatement  ,,,,,,,44,44,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,44,,,,,,,,,,,,,,,
25,ReadStatement  ,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ReadParameterTail ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,47,,,,,,,,,,,,
27,ReadParameter  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,
28,WriteStatement  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,50,,,,,,,,,,,,,,,,,,,,,,
29,WriteParameterTail ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,52,,,,,,,,,,,,
30,WriteParameter    ,,,,,,,,,53,,,,,,,,53,,,,,,,,,53,,,,,,53,53,53,53,,,,,53,,,,,,,,,53,53,,,
31,AssignmentStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,55",,,,,,,,,,,,,,,,,,,,,
32,IfStatement ,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,OptionalElsePart  ,,,,,,,"57,58",58,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,58,,,,,,,,,,,,,,,
34,RepeatStatement  ,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,WhileStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,
36, ForStatement    ,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ControlVariable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,
38,InitialValue   ,,,,,,,,,63,,,,,,,,63,,,,,,,,,63,,,,,,63,63,63,63,,,,,63,,,,,,,,,63,63,,,
39,StepValue      ,,,,,,65,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,FinalValue    ,,,,,,,,,66,,,,,,,,66,,,,,,,,,66,,,,,,66,66,66,66,,,,,66,,,,,,,,,66,66,,,
41,ProcedureStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,
42,OptionalActualParameterList,,,,,,,69,69,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,69,,68,,,,,,,,,,,,,
43,ActualParameterTail ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,71,,,,,,,,,,,,
44,ActualParameter    ,,,,,,,,,72,,,,,,,,72,,,,,,,,,72,,,,,,72,72,72,72,,,,,72,,,,,,,,,72,72,,,
45,Expression          ,,,,,,,,,73,,,,,,,,73,,,,,,,,,73,,,,,,73,73,73,73,,,,,73,,,,,,,,,73,73,,,
46,OptionalRelationalPart,,,,,75,75,75,75,,,,,,,,,,,,,,,,75,75,,75,,,,,,,,,,75,75,,75,,74,74,74,74,74,74,,,,,,
47,RelationalOperator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,78,77,79,80,81,,,,,,
48,SimpleExpression   ,,,,,,,,,82,,,,,,,,82,,,,,,,,,82,,,,,,82,82,82,82,,,,,82,,,,,,,,,82,82,,,
49,TermTail            ,,,,,84,84,84,84,,,,,,,,,,83,,,,,,84,84,,84,,,,,,,,,,84,84,,,84,84,84,84,84,84,84,,83,83,,,
50,OptionalSign         ,,,,,,,,,87,,,,,,,,87,,,,,,,,,87,,,,,,87,87,87,87,,,,,87,,,,,,,,,85,86,,,
51,AddingOperator        ,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,89,,,
52,Term                   ,,,,,,,,,91,,,,,,,,91,,,,,,,,,91,,,,,,91,91,91,91,,,,,91,,,,,,,,,,,,,
53,FactorTail          ,92,,,92,93,93,93,93,,,,,,,,92,,93,,,,,,93,93,,93,,,,,,,,,,93,93,,,93,93,93,93,93,93,93,,93,93,92,92,
54, MultiplyingOperator  ,98,,,96,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,95,
55, Factor               ,,,,,,,,,103,,,,,,,,104,,,,,,,,,102,,,,,,"106,116",99,100,101,,,,,105,,,,,,,,,,,,,
56,ProgramIdentifier  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,
57,VariableIdentifier ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,
58,ProcedureIdentifier ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,
59,FunctionIdentifier  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,
60,BooleanExpression   ,,,,,,,,,111,,,,,,,,111,,,,,,,,,111,,,,,,111,111,111,111,,,,,111,,,,,,,,,111,111,,,
61,OrdinalExpression   ,,,,,,,,,112,,,,,,,,112,,,,,,,,,112,,,,,,112,112,112,112,,,,,112,,,,,,,,,112,112,,,
62,IdentifierList      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,,,,
63,IdentifierTail      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,115,,,,,,,,,,,,,,
